Well	Strain	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	note
F7	s247s	0.846801045613324	0.00720501603595139	2.73787080565697e-50	0.00367963311723338	0.00059160211046401	2.84439850788399e-07	0.530443219501363	0.0164478540468125	3.2526961760482e-29	0.0188698265360221	38	10.2448249338473	1.30673209700282	8.26274848001611	8.16470005549491	""
F8	s247s	0.832953050065088	0.00675102908170581	4.34011477622838e-51	0.00271165870560858	0.000405268302443048	6.45903539138574e-08	0.525002195674709	0.0144405162422914	3.93606645360607e-31	0.0160747255302207	38	10.9031086393256	1.32027482222078	7.58542960302019	7.49642498604953	""
F9	s247s	0.845091818821613	0.00689078491744568	5.45307463055822e-51	0.00310918958923051	0.00047311663425818	9.39185546826978e-08	0.527347216447747	0.01505722355516	1.56404200012388e-30	0.0171146497327522	38	10.6218390824227	1.31440379116636	7.93086198016552	7.84044994786381	""
F10	s247s	0.861585112475914	0.00671980031986188	1.01091606228708e-51	0.0030738431954216	0.000464738424860024	8.22069188181442e-08	0.537127759982418	0.0151037640416279	8.89587423502594e-31	0.0172328462983284	38	10.4859059477353	1.29046985131179	8.20111922135357	8.11244999244809	""
F11	s247s	0.85631862160531	0.00721289043975396	1.8682205752497e-50	0.00313256688079329	0.000532020730729538	8.10803729357728e-07	0.547852349557983	0.0173148093237415	6.54650187797026e-29	0.0193650118448023	38	10.2347373122365	1.26520800927328	8.36385248653332	8.2665000166744	""
F12	s247s	0.854005134399848	0.00902346725814558	9.99339999928481e-47	0.00387512973515873	0.000863597754925573	6.49285702602875e-05	0.563135141884949	0.0241409011270509	4.01167236116013e-24	0.0265915661244412	38	9.572853372502	1.23087182632541	8.90220658571562	8.78787495009601	""
G1	s247s	0.870101352915793	0.0118775657629734	1.60066215127667e-42	0.00491288842574192	0.00131015236376438	0.000588621401309328	0.541650538292328	0.0291025861772997	1.08557808371675e-20	0.0342285824969662	38	9.54690331261028	1.27969443683236	9.09173148212705	8.95332506485283	""
G2	s247s	0.87097018756985	0.00974487243369971	8.71501586629244e-46	0.00379440178194967	0.000859016125800557	8.04248888671278e-05	0.549769445220434	0.0238601502506239	6.21723050110441e-24	0.0273378023981092	38	9.87998694728803	1.2607961147823	8.81337621552161	8.69144988432526	""
G3	s247s	0.871587921646093	0.00830369162145208	1.98544944122777e-48	0.00395305540201806	0.000799482278440608	1.57863350895997e-05	0.565242472928339	0.0219757698676753	1.21532711419996e-25	0.024617523159093	38	9.53799904281575	1.22628290292655	9.11570580838903	9.00374994240701	""
G4	s247s	0.862293945246737	0.00856538203087166	9.64814752149489e-48	0.00417111413086083	0.000779169575441563	4.38356657381749e-06	0.529449066367598	0.0194478786868754	1.56538737380779e-26	0.0229117442659377	38	10.06057883491	1.30918576420473	8.57122452939235	8.46065010689199	""
G5	s247s	0.85864843838619	0.00794259769527779	6.49465417023784e-49	0.00360724471889954	0.000668312652570734	3.81336411831354e-06	0.546523271681968	0.0193066538201496	3.80234855814039e-27	0.0218742789210268	38	10.0054392661175	1.26828484069257	8.58185332437561	8.47382500767707	""
G6	s247s	0.864177197815994	0.00714586847164917	9.27655951734897e-51	0.00343949193005139	0.00055080096831369	2.63077835486839e-07	0.536902134894472	0.0162931683581438	1.47414303476162e-29	0.018788115829915	38	10.2857964132549	1.29101215195612	8.39709262995203	8.29972496815026	""
G7	s247s	0.862335514637978	0.00699641532807688	4.51392275785454e-51	0.00309797311354015	0.00051662677978026	5.75530815520619e-07	0.553284378645801	0.0170877475743831	2.80937680090384e-29	0.0190688290241087	38	10.1670995426305	1.25278646445155	8.48039610342507	8.38425010815263	""
G8	s247s	0.860865196829299	0.00701943649134076	5.45417020160253e-51	0.00381299573320806	0.000623411702153463	3.94244280247505e-07	0.547190734481971	0.0172148582692053	5.53468938631752e-29	0.0195930453915204	38	9.89615379989377	1.26673778790526	8.69730078332923	8.59845004230737	""
G9	s247s	0.853226661699922	0.00699790830351973	6.80591028951371e-51	0.00353379079211041	0.000581317338965504	4.43660441031717e-07	0.54685315712245	0.0171083821933974	4.50949335244407e-29	0.0192355512825954	38	10.0255502064945	1.2675197565052	8.51064961354769	8.41419994086027	""
G10	s247s	0.857426076933715	0.00744097969350663	5.7883972977932e-50	0.00415746966704791	0.00075751097114973	2.86452386387444e-06	0.562542817174873	0.0199577121734163	4.4410279417161e-27	0.0221631371226289	38	9.46446669732432	1.2321678624233	9.03009259615193	8.92922511138022	""
G11	s247s	0.864804355739686	0.00716411367398353	9.94079973536522e-51	0.00350472780669661	0.00066679506821067	5.9510063218067e-06	0.590747149498704	0.0210463267227692	5.17052875262491e-27	0.0222926438436863	38	9.31757282212245	1.17333986486119	9.23492219845544	9.13392489776015	""
G12	s247s	0.859217925422533	0.0115227581285907	8.19410422655703e-43	0.00485647913447902	0.00121314186921007	0.000279701444664267	0.527669337224288	0.0266848034432669	1.34014999866931e-21	0.0317138168231524	38	9.79787958348607	1.31360140084342	8.76407584562373	8.630624871701	""
H1	s272	0.894052103911863	0.00926069701381219	4.70996221078595e-47	0.00420148229151301	0.000982557761473551	0.000123457489486009	0.587444784821682	0.0264370855082877	2.2485799843556e-23	0.029284227210715	38	9.11679932576624	1.17993588243421	9.7255231759036	9.59779993444681	""
H2	s272	0.916216705728203	0.00994376378903795	2.75516645052453e-46	0.00499044468236899	0.00117105244568592	0.000129014980043543	0.57479921691241	0.0267515995131479	7.35128570919357e-23	0.031231472149487	38	9.05927854161008	1.20589444133771	10.0183234675078	9.88564999029041	""
H3	s272	0.908695213728757	0.0103063274752335	1.45849286460522e-45	0.00442498355448349	0.00106653068717204	0.000181064219174254	0.566642373377066	0.0265850005226559	9.75477615791505e-23	0.0310764645602215	38	9.38839368691928	1.22325334836669	9.63880663119586	9.50417510792612	""
H4	s272	0.903887215574535	0.010379261550118	2.32730165678061e-45	0.00513822396277231	0.00120744097522807	0.000131390473163201	0.55655712070508	0.0262700192909722	1.20600213151225e-22	0.0312996913038901	38	9.2790049892455	1.24541966093584	9.68546787492381	9.55232491157948	""
H5	s247	0.629121064340237	0.0100379905666084	5.73191499318731e-40	1.37496807428035e-07	4.65482517750385e-08	0.00536034356831865	0.865495875088427	0.0203165446077814	1.09794741266754e-33	0.00511060043672186	38	17.719591498944	0.800867110417051	1.52922248539127	1.51585000008344	""
H6	s247	0.00249597970204655	0.00039347403603642	1.92602825120393e-07	0.00027447450951848	6.140918613555e-05	6.85196292370013e-05	0.183961243400914	0.0362298598059704	1.04156074144838e-05	0.000231687505490821	38	11.3669696180234	3.76789788841199	0.0224895669278849	0.022374991327523	""
H7	s247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cannot fit data
H8	s247	0.356976116974734	0.0114401510944178	1.0893734835729e-28	7.15229347338504e-09	2.11855960880283e-09	0.00170711741178179	0.906580959573246	0.0167783258608188	1.51368816745779e-37	0.00112091716333484	38	19.5523038072671	0.764572841774915	0.360895775699824	0.378949968144294	""
H9	s248	0.761975232357368	0.00697649060942231	4.40500324452198e-49	6.34850412681494e-06	1.69915139597528e-06	0.000612282605074962	0.762949389288619	0.0182160438040045	2.06574562201115e-33	0.00935578043434099	38	15.3292498147597	0.908510040497237	3.58689601838613	3.54947504401207	""
H10	s248	805.790931624041	789929149.623155	0.999999191430369	0.000525609208071016	0.000118686292805843	7.76733231186187e-05	0.0555864310564173	0.0704510845533501	0.435002967512608	0.0003530411554157	38	256.227571506709	12.4697190912732	0.0192859320204418	0.0189750194549565	""
H11	s248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cannot fit data
H12	s248	0.00220653532647063	0.000110539155309755	9.65612100516106e-22	0.000409239355727366	0.000106494458634474	0.000448845214394978	0.313812226246158	0.0642356042894511	1.89830271221092e-05	0.000314943275154002	38	4.71536239018756	2.20879596965171	0.0323415027822495	0.03199994564056	""
